Case_ID,Transaction_ID,From_Account,To_Account,Amount,Date,Time,IP,Phone,Email
C004,T6181,ACC1053,ACC1116,58538,2023-03-11,05:00,192.168.1.18,9305183167,user5@example.com
C008,T4014,ACC1045,ACC1127,60043,2023-05-01,08:03,192.168.1.16,9236130777,user41@example.com
C003,T5150,ACC1011,ACC1199,89870,2023-02-18,10:34,192.168.1.2,9892667786,user23@example.com
C011,T4755,ACC1006,ACC1153,48009,2023-02-09,18:23,192.168.1.4,9853935784,user2@example.com
C012,T6754,ACC1006,ACC1136,53310,2023-06-22,05:43,192.168.1.17,9944447343,user42@example.com
C012,T2425,ACC1072,ACC1117,96661,2023-02-07,06:42,192.168.1.36,9525607115,user28@example.com
C013,T5052,ACC1066,ACC1143,7031,2023-02-18,08:04,192.168.1.45,9930046534,user8@example.com
C006,T5221,ACC1074,ACC1166,27124,2023-04-11,07:44,192.168.1.3,9702392079,user39@example.com
C005,T9988,ACC1080,ACC1131,14678,2023-06-15,10:11,192.168.1.21,9436487371,user46@example.com
C018,T9596,ACC1013,ACC1191,39152,2023-04-23,19:38,192.168.1.39,9388332223,user43@example.com
C012,T7036,ACC1009,ACC1189,89292,2023-04-04,16:10,192.168.1.27,9941577909,user35@example.com
C007,T7389,ACC1019,ACC1178,78594,2023-05-07,08:31,192.168.1.26,9655774188,user29@example.com
C002,T5960,ACC1065,ACC1199,94014,2023-06-05,10:17,192.168.1.17,9273605818,user26@example.com
C002,T5190,ACC1086,ACC1133,87879,2023-04-27,15:22,192.168.1.45,9980474184,user37@example.com
C005,T4289,ACC1053,ACC1136,83353,2023-05-04,08:38,192.168.1.49,9518503925,user10@example.com
C010,T9010,ACC1013,ACC1189,61669,2023-06-23,17:54,192.168.1.5,9901725002,user4@example.com
C005,T8093,ACC1074,ACC1123,69861,2023-01-10,16:33,192.168.1.22,9198887104,user40@example.com
C005,T9015,ACC1026,ACC1117,80156,2023-04-20,21:38,192.168.1.43,9979660495,user41@example.com
C014,T9138,ACC1040,ACC1147,11048,2023-03-12,01:30,192.168.1.44,9247005468,user3@example.com
C003,T7996,ACC1000,ACC1190,49468,2023-06-12,08:22,192.168.1.29,9487718328,user35@example.com
C009,T6420,ACC1053,ACC1134,3494,2023-04-28,07:25,192.168.1.4,9876074315,user49@example.com
C014,T8549,ACC1089,ACC1116,14035,2023-02-17,15:20,192.168.1.29,9707037533,user13@example.com
C001,T7628,ACC1057,ACC1105,13849,2023-06-27,01:06,192.168.1.20,9737985529,user8@example.com
C007,T5386,ACC1064,ACC1163,65447,2023-06-09,12:24,192.168.1.14,9329801486,user32@example.com
C012,T5441,ACC1061,ACC1178,29935,2023-05-19,18:58,192.168.1.13,9492458712,user26@example.com
C016,T9692,ACC1094,ACC1163,99800,2023-01-10,11:12,192.168.1.43,9839162914,user29@example.com
C008,T4206,ACC1015,ACC1131,12914,2023-04-22,08:48,192.168.1.47,9347121957,user22@example.com
C007,T8298,ACC1007,ACC1108,16112,2023-01-24,21:40,192.168.1.13,9600420550,user26@example.com
C005,T4405,ACC1095,ACC1130,90516,2023-05-10,23:23,192.168.1.42,9886417074,user7@example.com
C003,T6015,ACC1018,ACC1172,79580,2023-02-02,00:53,192.168.1.29,9732545886,user37@example.com
C015,T4220,ACC1039,ACC1152,60124,2023-05-19,12:44,192.168.1.23,9468070399,user36@example.com
C018,T6727,ACC1042,ACC1138,43988,2023-02-09,02:43,192.168.1.42,9522470657,user10@example.com
C003,T5979,ACC1077,ACC1104,41285,2023-03-24,18:42,192.168.1.20,9310091563,user26@example.com
C004,T6785,ACC1009,ACC1193,77616,2023-05-26,17:23,192.168.1.9,9679482804,user15@example.com
